132,Atlanta Hawks,USA
133,Boston Celtics,USA
134,Brooklyn Nets,USA
135,Charlotte Hornets,USA
136,Chicago Bulls,USA
137,Cleveland Cavaliers,USA
138,Dallas Mavericks,USA
139,Denver Nuggets,USA
140,Detroit Pistons,USA
141,Golden State Warriors,USA
142,Houston Rockets,USA
143,Indiana Pacers,USA
144,Los Angeles Clippers,USA
145,Los Angeles Lakers,USA
146,Memphis Grizzlies,USA
147,Miami Heat,USA
148,Milwaukee Bucks,USA
149,Minnesota Timberwolves,USA
150,New Orleans Pelicans,USA
151,New York Knicks,USA
152,Oklahoma City Thunder,USA
153,Orlando Magic,USA
154,Philadelphia 76ers,USA
155,Phoenix Suns,USA
156,Portland Trail Blazers,USA
157,Sacramento Kings,USA
158,San Antonio Spurs,USA
1411,Team Giannis,USA
1412,Team LeBron,USA
1413,Team USA,USA
1414,Team World,
159,Toronto Raptors,USA
160,Utah Jazz,USA
161,Washington Wizards,USA
